   ,WR#,DESCR,WRST_CD,VERS_ID_SEQ,VER_TYP,SCAN_DOC,URL_SCAN_CHAU_DOC
66,41H 30027281,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30027281&Extension=&WR_Type=PROVISIONAL PERMIT,
67,41H 30029944,PROVISIONAL PERMIT,DENY,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30029944&Extension=&WR_Type=PROVISIONAL PERMIT,
68,41H 30042354,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30042354&Extension=&WR_Type=PROVISIONAL PERMIT,
69,41H 30046241,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30046241&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30110660&Extension=&WR_Type=CHANGE AUTHORIZATION
70,41H 30048037,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30048037&Extension=&WR_Type=PROVISIONAL PERMIT,
71,41H 30048319,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30048319&Extension=&WR_Type=PROVISIONAL PERMIT,
72,41H 30109060,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30109060&Extension=&WR_Type=PROVISIONAL PERMIT,
73,41H 30115127,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30115127&Extension=&WR_Type=PROVISIONAL PERMIT,
74,41H 30115965,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30115965&Extension=&WR_Type=PROVISIONAL PERMIT,
75,41H 30127867,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30127867&Extension=&WR_Type=PROVISIONAL PERMIT,
76,41I 111710 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=111710&Extension= 00&WR_Type=PROVISIONAL PERMIT,
77,41I 114950 00,PROVISIONAL PERMIT,DENY,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=114950&Extension= 00&WR_Type=PROVISIONAL PERMIT,
78,41I 30001500,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30001500&Extension=&WR_Type=GROUND WATER CERTIFICATE,
79,41I 30004542,PROVISIONAL PERMIT,ACTV,3,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30004542&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30050088&Extension=&WR_Type=CHANGE AUTHORIZATION
80,41I 30004735,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30004735&Extension=&WR_Type=PROVISIONAL PERMIT,
81,41I 30004748,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30004748&Extension=&WR_Type=PROVISIONAL PERMIT,
82,41I 30006229,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30006229&Extension=&WR_Type=PROVISIONAL PERMIT,
83,41I 30009424,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30009424&Extension=&WR_Type=PROVISIONAL PERMIT,
84,41I 30010349,PROVISIONAL PERMIT,ACTV,3,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30010349&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30065090&Extension=&WR_Type=CHANGE AUTHORIZATION
85,41I 30046072,PROVISIONAL PERMIT,EXPR,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30046072&Extension=&WR_Type=PROVISIONAL PERMIT,
86,41I 30048867,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30048867&Extension=&WR_Type=GROUND WATER CERTIFICATE,
87,41I 30051469,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30051469&Extension=&WR_Type=GROUND WATER CERTIFICATE,
88,41I 30064203,PROVISIONAL PERMIT,EXPR,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30064203&Extension=&WR_Type=PROVISIONAL PERMIT,
89,41I 30068548,PROVISIONAL PERMIT,ACTV,2,SPLT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30068548&Extension=&WR_Type=PROVISIONAL PERMIT,
90,41I 30070090,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30070090&Extension=&WR_Type=GROUND WATER CERTIFICATE,
91,41I 30118254,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=30118254&Extension=&WR_Type=PROVISIONAL PERMIT,
92,41I 76222 00,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41I&WR_Number=76222&Extension= 00&WR_Type=GROUND WATER CERTIFICATE,
93,41J 30068585,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41J&WR_Number=30068585&Extension=&WR_Type=PROVISIONAL PERMIT,
94,41K 30003866,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41K&WR_Number=30003866&Extension=&WR_Type=PROVISIONAL PERMIT,
95,41K 30047925,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41K&WR_Number=30047925&Extension=&WR_Type=PROVISIONAL PERMIT,
96,41K 30063379,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41K&WR_Number=30063379&Extension=&WR_Type=PROVISIONAL PERMIT,
97,41K 30150582,PROVISIONAL PERMIT,PEND,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41K&WR_Number=30150582&Extension=&WR_Type=PROVISIONAL PERMIT,
98,41K 6853 00,PROVISIONAL PERMIT,ACTV,3,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41K&WR_Number=6853&Extension= 00&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41K&WR_Number=30068535&Extension=&WR_Type=CHANGE AUTHORIZATION
99,41L 30024139,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41L&WR_Number=30024139&Extension=&WR_Type=PROVISIONAL PERMIT,
100,41L 89565 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41L&WR_Number=89565&Extension= 00&WR_Type=PROVISIONAL PERMIT,
101,41N 30104996,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41N&WR_Number=30104996&Extension=&WR_Type=PROVISIONAL PERMIT,
102,41O 30000571,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41O&WR_Number=30000571&Extension=&WR_Type=PROVISIONAL PERMIT,
103,41P 30024017,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41P&WR_Number=30024017&Extension=&WR_Type=PROVISIONAL PERMIT,
104,41P 30068903,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41P&WR_Number=30068903&Extension=&WR_Type=PROVISIONAL PERMIT,
105,41Q 30026974,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41Q&WR_Number=30026974&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41Q&WR_Number=30071031&Extension=&WR_Type=CHANGE AUTHORIZATION
106,41Q 30042075,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41Q&WR_Number=30042075&Extension=&WR_Type=GROUND WATER CERTIFICATE,
107,41Q 30068688,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41Q&WR_Number=30068688&Extension=&WR_Type=PROVISIONAL PERMIT,
108,41QJ 30002313,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41QJ&WR_Number=30002313&Extension=&WR_Type=PROVISIONAL PERMIT,
109,41QJ 30017987,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41QJ&WR_Number=30017987&Extension=&WR_Type=PROVISIONAL PERMIT,
110,41QJ 30066324,PROVISIONAL PERMIT,ACTV,2,REDU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41QJ&WR_Number=30066324&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41QJ&WR_Number=30108706&Extension=&WR_Type=CHANGE AUTHORIZATION
111,41QJ 30070657,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41QJ&WR_Number=30070657&Extension=&WR_Type=PROVISIONAL PERMIT,
112,41QJ 30124432,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41QJ&WR_Number=30124432&Extension=&WR_Type=PROVISIONAL PERMIT,
113,41R 30047266,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41R&WR_Number=30047266&Extension=&WR_Type=PROVISIONAL PERMIT,
114,41R 30104866,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41R&WR_Number=30104866&Extension=&WR_Type=PROVISIONAL PERMIT,
115,41S 30005803,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30005803&Extension=&WR_Type=PROVISIONAL PERMIT,
116,41S 30019140,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30019140&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30065673&Extension=&WR_Type=CHANGE AUTHORIZATION
117,41S 30051640,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30051640&Extension=&WR_Type=GROUND WATER CERTIFICATE,
118,41S 30065060,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30065060&Extension=&WR_Type=PROVISIONAL PERMIT,
119,41S 30065672,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30065672&Extension=&WR_Type=PROVISIONAL PERMIT,
120,41S 30114604,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41S&WR_Number=30114604&Extension=&WR_Type=PROVISIONAL PERMIT,
121,42J 109956 00,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42J&WR_Number=109956&Extension= 00&WR_Type=GROUND WATER CERTIFICATE,
122,42K 30063152,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42K&WR_Number=30063152&Extension=&WR_Type=PROVISIONAL PERMIT,
123,42KJ 30154975,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42KJ&WR_Number=30154975&Extension=&WR_Type=PROVISIONAL PERMIT,
124,42L 30072206,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42L&WR_Number=30072206&Extension=&WR_Type=PROVISIONAL PERMIT,
125,42M 16347 00,STATEMENT OF CLAIM,ACTV,3,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=16347&Extension= 00&WR_Type=STATEMENT OF CLAIM,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30068595&Extension=&WR_Type=CHANGE AUTHORIZATION
126,42M 16350 00,STATEMENT OF CLAIM,ACTV,3,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=16350&Extension= 00&WR_Type=STATEMENT OF CLAIM,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30068595&Extension=&WR_Type=CHANGE AUTHORIZATION
127,42M 21403 00,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=21403&Extension= 00&WR_Type=GROUND WATER CERTIFICATE,
128,42M 30047258,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30047258&Extension=&WR_Type=PROVISIONAL PERMIT,
129,42M 30064191,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30064191&Extension=&WR_Type=PROVISIONAL PERMIT,
130,42M 30064941,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30064941&Extension=&WR_Type=PROVISIONAL PERMIT,
131,42M 30065439,PROVISIONAL PERMIT,EXPR,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30065439&Extension=&WR_Type=PROVISIONAL PERMIT,
132,42M 30066151,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30066151&Extension=&WR_Type=PROVISIONAL PERMIT,
133,42M 30066155,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30066155&Extension=&WR_Type=PROVISIONAL PERMIT,
134,42M 30066962,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30066962&Extension=&WR_Type=PROVISIONAL PERMIT,
135,42M 30066963,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30066963&Extension=&WR_Type=PROVISIONAL PERMIT,
136,42M 30068052,PROVISIONAL PERMIT,EXPR,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30068052&Extension=&WR_Type=PROVISIONAL PERMIT,
